ID,DLC,DATA,TIMESTAMP,Release Time,Period,Jitter
0XD5,1,aa,1.2091,1.2088995980580641,1000,0.0
0XA0,1,20,1.3441,1.3436424411240122,5,0.0
0XC5,1,97,1.8596,1.859062658947177,100,0.0
0XB0,6,fd e6 f1 c2 6b 30,2.5512,2.550690257394217,10,0.0
0XC1,1,75,2.6636,2.663305604572596,100,0.0
0XA4,2,70 eb,3.4577,3.457004147087525,5,0.0
0XA1,2,01 e4,4.3282,4.3276706790505335,5,0.0
0XD0,1,c7,4.8791,4.878566565241476,1000,0.0
0XB2,1,34,5.9121,5.911534350013039,10,0.0
0XA0,1,20,6.3441,6.343642441124012,5,0.0
0XA3,1,71,7.2591,7.258526014465152,5,0.0
0XB3,2,fd 77,7.6376,7.637009951314894,10,0.0
0XA5,1,33,8.3761,8.375779756625729,5,0.0
0XA4,2,70 eb,8.4576,8.457004147087524,5,0.0
0XC2,4,0f 0b 0d 04,9.0147,9.014274576114836,100,0.0
0XA1,2,01 e4,9.3281,9.327670679050534,5,0.0
0XD2,3,c3 6e d8,9.3917,9.391491627785106,1000,0.0
0XB4,2,0b d5,9.5227,9.522444552911937,10,0.0
0XA0,1,20,11.3441,11.343642441124013,5,0.0
0XA3,1,71,12.2591,12.258526014465152,5,0.0
0XB0,6,fd e6 f1 c2 6b 30,12.5512,12.550690257394217,10,0.0
0XA5,1,33,13.3761,13.375779756625729,5,0.0
0XA4,2,70 eb,13.4577,13.457004147087524,5,0.0
0XA1,2,01 e4,14.3282,14.327670679050534,5,0.0
0XB2,1,34,15.9121,15.911534350013039,10,0.0
0XA0,1,20,16.3441,16.34364244112401,5,0.0
0XA3,1,71,17.2591,17.258526014465154,5,0.0
0XB3,2,fd 77,17.6377,17.637009951314894,10,0.0
0XA5,1,33,18.3761,18.37577975662573,5,0.0
0XA4,2,70 eb,18.4577,18.457004147087524,5,0.0
0XA1,2,01 e4,19.3282,19.327670679050534,5,0.0
0XB4,2,0b d5,19.5226,19.522444552911935,10,0.0
0XA0,1,20,21.3441,21.34364244112401,5,0.0
0XA3,1,71,22.2591,22.258526014465154,5,0.0
0XB0,6,fd e6 f1 c2 6b 30,22.5512,22.550690257394216,10,0.0
0XA5,1,33,23.3761,23.37577975662573,5,0.0
0XA4,2,70 eb,23.4576,23.457004147087524,5,0.0
0XA1,2,01 e4,24.3281,24.327670679050534,5,0.0
0XB2,1,34,25.9121,25.91153435001304,10,0.0
0XA0,1,20,26.3441,26.34364244112401,5,0.0
0XA3,1,71,27.2591,27.258526014465154,5,0.0
0XB3,2,fd 77,27.6376,27.637009951314894,10,0.0
0XA5,1,33,28.3761,28.37577975662573,5,0.0
0XA4,2,70 eb,28.4576,28.457004147087524,5,0.0
0XA1,2,01 e4,29.3281,29.327670679050534,5,0.0
0XB4,2,0b d5,29.5226,29.522444552911935,10,0.0
0XA0,1,20,31.3441,31.34364244112401,5,0.0
0XA3,1,71,32.2591,32.258526014465154,5,0.0
0XB0,6,fd e6 f1 c2 6b 30,32.5512,32.550690257394216,10,0.0
0XA5,1,33,33.3761,33.37577975662573,5,0.0
0XA4,2,70 eb,33.4576,33.457004147087524,5,0.0
0XA1,2,01 e4,34.3281,34.327670679050534,5,0.0
0XB2,1,34,35.9121,35.91153435001304,10,0.0
0XA0,1,20,36.3441,36.34364244112401,5,0.0
0XA3,1,71,37.2591,37.258526014465154,5,0.0
0XB3,2,fd 77,37.6376,37.637009951314894,10,0.0
0XA5,1,33,38.3761,38.37577975662573,5,0.0
0XA4,2,70 eb,38.4577,38.457004147087524,5,0.0
0XA1,2,01 e4,39.3282,39.327670679050534,5,0.0
