ID,DLC,DATA,TIMESTAMP,Release Time,Period,Jitter
0XA4,2,cc 00,62.1977,62.19704686403954,5,0.0
0XA5,1,20,62.3031,62.30278576353225,5,0.0
0XB2,1,25,63.1016,63.10147569319333,10,0.0
0XA0,1,d7,63.4446,63.44421851525048,5,0.0
0XA3,1,85,63.6536,63.6530992777164,5,0.0
0XB4,2,aa 7c,66.1192,66.11897084814144,10,0.0
0XA1,2,30 80,66.3977,66.3974578496668,5,0.0
0XA4,2,cc 00,67.1977,67.19704686403954,5,0.0
0XA5,1,20,67.3031,67.30278576353224,5,0.0
0XA0,1,d7,68.4446,68.44421851525048,5,0.0
0XA3,1,85,68.6536,68.6530992777164,5,0.0
0XB0,6,f8 cf 9b f4 b7 6f,70.4052,70.40484378180777,10,0.0
0XB3,2,07 2f,70.6232,70.62279588021545,10,0.0
0XA1,2,30 80,71.3977,71.3974578496668,5,0.0
0XA4,2,cc 00,72.1977,72.19704686403954,5,0.0
0XA5,1,20,72.3031,72.30278576353224,5,0.0
0XB2,1,25,73.1016,73.10147569319332,10,0.0
0XA0,1,d7,73.4446,73.44421851525048,5,0.0
0XA3,1,85,73.6536,73.6530992777164,5,0.0
0XB4,2,aa 7c,76.1192,76.11897084814144,10,0.0
0XA1,2,30 80,76.3977,76.3974578496668,5,0.0
0XA4,2,cc 00,77.1977,77.19704686403954,5,0.0
0XA5,1,20,77.3031,77.30278576353224,5,0.0
0XA0,1,d7,78.4446,78.44421851525048,5,0.0
0XA3,1,85,78.6536,78.6530992777164,5,0.0
0XB0,6,f8 cf 9b f4 b7 6f,80.4052,80.40484378180777,10,0.0
0XB3,2,07 2f,80.6232,80.62279588021545,10,0.0
0XA1,2,30 80,81.3977,81.3974578496668,5,0.0
0XA4,2,cc 00,82.1977,82.19704686403954,5,0.0
0XA5,1,20,82.3031,82.30278576353224,5,0.0
0XB2,1,25,83.1016,83.10147569319332,10,0.0
0XA0,1,d7,83.4446,83.44421851525048,5,0.0
0XA3,1,85,83.6536,83.6530992777164,5,0.0
0XB4,2,aa 7c,86.1192,86.11897084814144,10,0.0
0XA1,2,30 80,86.3977,86.3974578496668,5,0.0
0XA4,2,cc 00,87.1977,87.19704686403954,5,0.0
0XA5,1,20,87.3031,87.30278576353224,5,0.0
0XA0,1,d7,88.4446,88.44421851525048,5,0.0
0XA3,1,85,88.6536,88.6530992777164,5,0.0
0XB0,6,f8 cf 9b f4 b7 6f,90.4052,90.40484378180777,10,0.0
0XB3,2,07 2f,90.6232,90.62279588021545,10,0.0
0XA1,2,30 80,91.3977,91.3974578496668,5,0.0
